,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
0,Star Wars: Episode VIII - The Last Jedi,2017,6.9,84.0,638768.0,620181382.0,"Action, Adventure, Fantasy","Director:Rian Johnson| Stars:Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher"
1,Beauty and the Beast,2017,7.1,65.0,314335.0,504014165.0,"Adventure, Family, Fantasy","Director:Bill Condon| Stars:Emma Watson, Dan Stevens, Luke Evans, Josh Gad"
2,Wonder Woman,2017,7.4,76.0,665175.0,412563408.0,"Action, Adventure, Fantasy","Director:Patty Jenkins| Stars:Gal Gadot, Chris Pine, Robin Wright, Lucy Davis"
3,Jumanji: Welcome to the Jungle,2017,6.9,58.0,388448.0,404515480.0,"Action, Adventure, Comedy","Director:Jake Kasdan| Stars:Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black"
4,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,690560.0,389813101.0,"Action, Adventure, Comedy","Director:James Gunn| Stars:Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel"
5,Spider-Man: Homecoming,2017,7.4,73.0,666001.0,334201140.0,"Action, Adventure, Sci-Fi","Director:Jon Watts| Stars:Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei"
6,It,2017,7.3,69.0,557549.0,327481748.0,Horror,"Director:Andy Muschietti| Stars:Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis"
7,Thor: Ragnarok,2017,7.9,74.0,761511.0,315058289.0,"Action, Adventure, Comedy","Director:Taika Waititi| Stars:Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo"
8,Despicable Me 3,2017,6.2,49.0,139416.0,264624300.0,"Animation, Adventure, Comedy","Directors:Kyle Balda, Pierre Coffin, Eric Guillon| Stars:Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove"
9,Justice League,2017,6.1,45.0,457569.0,229024295.0,"Action, Adventure, Fantasy","Director:Zack Snyder| Stars:Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller"
10,Logan,2017,8.1,77.0,772610.0,226277068.0,"Action, Drama, Sci-Fi","Director:James Mangold| Stars:Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook"
11,The Fate of the Furious,2017,6.6,56.0,236079.0,226008385.0,"Action, Crime, Thriller","Director:F. Gary Gray| Stars:Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez"
12,Coco,2017,8.4,81.0,518045.0,209726015.0,"Animation, Adventure, Comedy","Directors:Lee Unkrich, Adrian Molina| Stars:Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach"
13,Dunkirk,2017,7.8,94.0,669453.0,188373161.0,"Action, Drama, History","Director:Christopher Nolan| Stars:Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy"
14,Get Out,2017,7.7,85.0,624249.0,176040665.0,"Horror, Mystery, Thriller","Director:Jordan Peele| Stars:Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener"
15,The Lego Batman Movie,2017,7.3,75.0,155534.0,175750384.0,"Animation, Action, Adventure","Director:Chris McKay| Stars:Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes"
16,The Boss Baby,2017,6.3,50.0,130368.0,175003033.0,"Animation, Adventure, Comedy","Director:Tom McGrath| Stars:Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow"
17,The Greatest Showman,2017,7.5,48.0,287256.0,174340174.0,"Biography, Drama, Musical","Director:Michael Gracey| Stars:Hugh Jackman, Michelle Williams, Zac Efron, Zendaya"
18,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.5,39.0,317873.0,172558876.0,"Action, Adventure, Fantasy","Directors:Joachim Rønning, Espen Sandberg| Stars:Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom"
19,Kong: Skull Island,2017,6.6,62.0,324395.0,168052812.0,"Action, Adventure, Fantasy","Director:Jordan Vogt-Roberts| Stars:Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly"
20,Cars 3,2017,6.7,59.0,104543.0,152901115.0,"Animation, Adventure, Comedy","Director:Brian Fee| Stars:Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion"
21,War for the Planet of the Apes,2017,7.4,82.0,261890.0,146880162.0,"Action, Adventure, Drama","Director:Matt Reeves| Stars:Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval"
22,Wonder,2017,7.9,66.0,167515.0,132422809.0,"Drama, Family","Director:Stephen Chbosky| Stars:Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts"
23,Transformers: The Last Knight,2017,5.2,27.0,155279.0,130168683.0,"Action, Adventure, Sci-Fi","Director:Michael Bay| Stars:Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock"
24,Girls Trip,2017,6.2,71.0,38493.0,115171585.0,"Adventure, Comedy, Drama","Director:Malcolm D. Lee| Stars:Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish"
25,Fifty Shades Darker,2017,4.6,33.0,104806.0,114376885.0,"Drama, Romance, Thriller","Director:James Foley| Stars:Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford"
26,The Upside,2017,7.0,46.0,57860.0,108252517.0,"Comedy, Drama","Director:Neil Burger| Stars:Kevin Hart, Bryan Cranston, Nicole Kidman, Aja Naomi King"
27,Baby Driver,2017,7.6,86.0,551080.0,107825862.0,"Action, Crime, Drama","Director:Edgar Wright| Stars:Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González"
28,Pitch Perfect 3,2017,5.8,40.0,66159.0,104897530.0,"Comedy, Music","Director:Trish Sie| Stars:Anna Kendrick, Rebel Wilson, Brittany Snow, Anna Camp"
29,Daddy's Home 2,2017,6.0,30.0,76591.0,104029443.0,Comedy,"Director:Sean Anders| Stars:Will Ferrell, Mark Wahlberg, Mel Gibson, John Lithgow"
30,Murder on the Orient Express,2017,6.5,52.0,264027.0,102826543.0,"Crime, Drama, Mystery","Director:Kenneth Branagh| Stars:Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench"
31,Annabelle: Creation,2017,6.5,62.0,138144.0,102092201.0,"Horror, Mystery, Thriller","Director:David F. Sandberg| Stars:Anthony LaPaglia, Samara Lee, Miranda Otto, Brad Greenquist"
32,Kingsman: The Golden Circle,2017,6.7,44.0,334826.0,100234838.0,"Action, Adventure, Comedy","Director:Matthew Vaughn| Stars:Taron Egerton, Colin Firth, Mark Strong, Channing Tatum"
33,Blade Runner 2049,2017,8.0,81.0,585976.0,92054159.0,"Action, Drama, Mystery","Director:Denis Villeneuve| Stars:Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista"
34,John Wick: Chapter 2,2017,7.4,75.0,440981.0,92029184.0,"Action, Crime, Thriller","Director:Chad Stahelski| Stars:Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose"
35,The Emoji Movie,2017,3.4,12.0,65989.0,86089513.0,"Animation, Adventure, Comedy","Director:Tony Leondis| Stars:T.J. Miller, James Corden, Anna Faris, Maya Rudolph"
36,Power Rangers,2017,5.9,44.0,109786.0,85364450.0,"Action, Adventure, Fantasy","Director:Dean Israelite| Stars:Dacre Montgomery, Naomi Scott, RJ Cyler, Ludi Lin"
37,Ferdinand,2017,6.7,58.0,58976.0,84410380.0,"Animation, Adventure, Comedy","Director:Carlos Saldanha| Stars:John Cena, Kate McKinnon, Bobby Cannavale, Jack Gore"
38,The Post,2017,7.2,83.0,154051.0,81903458.0,"Biography, Drama, History","Director:Steven Spielberg| Stars:Meryl Streep, Tom Hanks, Sarah Paulson, Bob Odenkirk"
39,The Mummy,2017,5.4,34.0,193516.0,80101125.0,"Action, Adventure, Fantasy","Director:Alex Kurtzman| Stars:Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe"
40,The Hitman's Bodyguard,2017,6.9,47.0,234889.0,75468583.0,"Action, Comedy, Crime","Director:Patrick Hughes| Stars:Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung"
41,Alien: Covenant,2017,6.4,65.0,285792.0,74262031.0,"Horror, Sci-Fi, Thriller","Director:Ridley Scott| Stars:Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride"
42,Captain Underpants: The First Epic Movie,2017,6.2,69.0,29533.0,73921000.0,"Animation, Action, Adventure","Director:David Soren| Stars:Kevin Hart, Thomas Middleditch, Ed Helms, Nick Kroll"
43,A Bad Moms Christmas,2017,5.6,42.0,54169.0,72110659.0,Comedy,"Directors:Jon Lucas, Scott Moore| Stars:Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez"
44,A Dog's Purpose,2017,7.2,43.0,74274.0,64508620.0,"Adventure, Comedy, Drama","Director:Lasse Hallström| Stars:Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar"
45,The Shape of Water,2017,7.3,87.0,425772.0,63859435.0,"Drama, Fantasy, Romance","Director:Guillermo del Toro| Stars:Sally Hawkins, Octavia Spencer, Michael Shannon, Doug Jones"
46,The Lego Ninjago Movie,2017,6.0,55.0,27212.0,59281555.0,"Animation, Action, Adventure","Directors:Charlie Bean, Paul Fisher, Bob Logan| Stars:Jackie Chan, Dave Franco, Fred Armisen, Kumail Nanjiani"
47,Baywatch,2017,5.5,37.0,190415.0,58060186.0,"Action, Comedy, Crime","Director:Seth Gordon| Stars:Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra Jonas"
48,The Shack,2017,6.2,32.0,37027.0,57386418.0,"Drama, Fantasy","Director:Stuart Hazeldine| Stars:Sam Worthington, Octavia Spencer, Tim McGraw, Radha Mitchell"
49,Darkest Hour,2017,7.4,75.0,205868.0,56468410.0,"Biography, Drama, War","Director:Joe Wright| Stars:Gary Oldman, Lily James, Kristin Scott Thomas, Ben Mendelsohn"
50,Happy Death Day,2017,6.6,58.0,147221.0,55683845.0,"Comedy, Horror, Mystery","Director:Christopher Landon| Stars:Jessica Rothe, Israel Broussard, Ruby Modine, Charles Aitken"
51,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88.0,515567.0,54513740.0,"Comedy, Crime, Drama","Director:Martin McDonagh| Stars:Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones"
52,Atomic Blonde,2017,6.7,63.0,197098.0,51687870.0,"Action, Thriller","Director:David Leitch| Stars:Charlize Theron, James McAvoy, John Goodman, Eddie Marsan"
53,American Made,2017,7.1,65.0,189572.0,51342000.0,"Action, Comedy, Crime","Director:Doug Liman| Stars:Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons"
54,Jai Lava Kusa,2017,6.8,,6166.0,51000000.0,"Action, Drama, Thriller","Director:K.S. Ravindra| Stars:N.T. Rama Rao Jr., Raashi Khanna, Nivetha Thomas, Ronit Roy"
55,The Dark Tower,2017,5.6,34.0,140630.0,50701325.0,"Action, Adventure, Fantasy","Director:Nikolaj Arcel| Stars:Idris Elba, Matthew McConaughey, Tom Taylor, Dennis Haysbert"
56,Lady Bird,2017,7.4,93.0,297429.0,48958273.0,"Comedy, Drama","Director:Greta Gerwig| Stars:Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges"
57,Boo 2! A Madea Halloween,2017,3.9,17.0,4944.0,47319572.0,"Comedy, Drama, Horror","Director:Tyler Perry| Stars:Tyler Perry, Cassi Davis, Patrice Lovely, Yousef Erakat"
58,Snatched,2017,4.6,45.0,36153.0,45825314.0,"Action, Adventure, Comedy","Director:Jonathan Levine| Stars:Amy Schumer, Goldie Hawn, Kim Caramele, Raven Goodwin"
59,Smurfs: The Lost Village,2017,6.0,40.0,22316.0,45020282.0,"Animation, Adventure, Comedy","Director:Kelly Asbury| Stars:Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer"
60,Going in Style,2017,6.6,50.0,87152.0,45018541.0,"Comedy, Crime","Director:Zach Braff| Stars:Michael Caine, Alan Arkin, Ann-Margret, Matt Dillon"
61,All Eyez on Me,2017,5.8,38.0,23740.0,44922302.0,"Biography, Drama, Music","Director:Benny Boom| Stars:Demetrius Shipp Jr., Danai Gurira, Kat Graham, Annie Ilonzeh"
62,xXx: Return of Xander Cage,2017,5.2,42.0,93520.0,44898413.0,"Action, Adventure, Thriller","Director:D.J. Caruso| Stars:Vin Diesel, Donnie Yen, Deepika Padukone, Kris Wu"
63,47 Meters Down,2017,5.6,52.0,56784.0,44307193.0,"Adventure, Drama, Horror","Director:Johannes Roberts| Stars:Mandy Moore, Claire Holt, Matthew Modine, Chris Johnson"
64,The Big Sick,2017,7.5,86.0,137719.0,42873127.0,"Comedy, Drama, Romance","Director:Michael Showalter| Stars:Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano"
65,Valerian and the City of a Thousand Planets,2017,6.4,51.0,184857.0,41189488.0,"Action, Adventure, Fantasy","Director:Luc Besson| Stars:Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna"
66,The Star,2017,6.2,42.0,8619.0,40852824.0,"Animation, Adventure, Comedy","Director:Timothy Reckart| Stars:Steven Yeun, Keegan-Michael Key, Aidy Bryant, Gina Rodriguez"
67,Ghost in the Shell,2017,6.3,52.0,218249.0,40563557.0,"Action, Crime, Drama","Director:Rupert Sanders| Stars:Scarlett Johansson, Pilou Asbæk, Takeshi Kitano, Juliette Binoche"
68,Paddington 2,2017,7.8,88.0,82305.0,40442052.0,"Adventure, Comedy, Family","Director:Paul King| Stars:Ben Whishaw, Hugh Grant, Hugh Bonneville, Sally Hawkins"
